Município,ibge,latitude,longitude,"Taxa de Mortalidade por Ano_1996 (-)","Taxa de Mortalidade por Ano_1997 (-)","Taxa de Mortalidade por Ano_1998 (-)","Taxa de Mortalidade por Ano_1999 (-)","Taxa de Mortalidade por Ano_2000 (-)","Taxa de Mortalidade por Ano_2001 (-)","Taxa de Mortalidade por Ano_2002 (-)","Taxa de Mortalidade por Ano_2003 (-)","Taxa de Mortalidade por Ano_2004 (-)","Taxa de Mortalidade por Ano_2005 (-)","Taxa de Mortalidade por Ano_2006 (-)","Taxa de Mortalidade por Ano_2007 (-)","Taxa de Mortalidade por Ano_2008 (-)","Taxa de Mortalidade por Ano_2009 (-)","Taxa de Mortalidade por Ano_2010 (-)","Taxa de Mortalidade por Ano_2011 (-)"
Candelária,4304200,-29.668399999990,-52.789499999990,1.96,2.74,2.23,2.24,2.56,2.52,3.05,4.31,3.52,3.96,3.42,3.96,4.09,3.89,3.87,3.01
"Cândido Godói",4304309,-27.951499999990,-54.751700000000,0.59,1.04,1.64,1.95,1.30,1.50,1.06,1.47,1.85,1.43,3.01,2.12,2.26,3.77,1.64,2.03
Canela,4304408,-29.356000000000,-50.811900000000,2.07,0.96,1.22,2.65,1.16,1.87,2.16,1.61,3.13,3.64,2.23,2.59,2.02,2.29,2.22,4.25
Canguçu,4304507,-31.396000000000,-52.678199999990,3.12,2.75,3.08,2.79,2.87,2.77,3.33,3.09,1.86,3.15,2.95,3.50,4.24,4.76,5.48,4.45
Canoas,4304606,-29.912800000000,-51.185699999990,4.79,3.86,5.30,4.40,3.93,4.64,4.89,5.58,5.12,5.78,5.22,6.07,4.87,4.43,4.29,4.55
"Capão da Canoa",4304630,-29.639700000000,-49.959899999990,0.73,1.48,1.88,2.54,2.37,2.30,1.23,1.57,1.92,1.99,2.28,3.00,2.15,4.35,3.93,3.71
Carazinho,4304705,-28.295800000000,-52.793300000000,3.74,3.31,4.40,3.89,4.16,3.97,4.39,4.94,4.78,5.01,4.82,5.93,4.68,5.07,5.29,5.66
"Carlos Barbosa",4304804,-29.296900000000,-51.502899999990,1.45,1.11,0.81,0.72,0.31,1.97,1.95,1.25,1.34,0.14,1.71,1.33,2.01,1.59,0.64,0.93
Casca,4304903,-28.560500000000,-51.981499999990,2.33,2.33,3.82,3.65,3.19,3.26,3.72,4.07,5.51,4.96,4.89,6.00,4.99,3.80,4.30,3.40
Catuípe,4305009,-28.255400000000,-54.013199999990,0.90,0.66,0.77,0.99,1.79,1.90,-,-,-,-,-,-,-,-,-,-
"Caxias do Sul",4305108,-29.162900000000,-51.179200000000,3.79,3.30,3.49,3.45,3.87,4.10,3.80,4.05,4.06,4.26,4.79,4.93,5.03,4.80,4.98,5.16
"Cerro Branco",4305132,-29.657000000000,-52.940600000000,1.33,2.23,0.56,0.36,-,0.76,-,1.97,4.95,2.90,3.86,6.67,3.76,3.86,6.70,5.73
"Cerro Largo",4305207,-28.146200000000,-54.742800000000,1.43,1.46,1.99,1.60,2.53,2.05,1.57,1.10,1.39,1.97,1.83,2.02,1.27,1.41,1.85,3.73
Chapada,4305306,-28.055900000000,-53.066499999990,1.17,2.71,1.64,1.85,1.65,4.24,2.70,2.84,3.30,3.06,2.78,3.44,2.22,5.67,4.20,3.80
Charqueadas,4305355,-29.962500000000,-51.628900000000,2.55,1.87,2.14,3.18,1.99,3.66,3.16,3.45,4.71,5.90,6.88,-,-,-,-,-
Chiapetta,4305405,-27.922999999990,-53.941899999990,1.34,1.14,2.08,1.27,2.35,4.43,2.28,2.81,1.18,0.57,1.77,2.09,2.79,2.91,4.44,3.10
Cidreira,4305454,-30.160399999990,-50.233800000000,3.90,4.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ciríaco,4305504,-28.341899999990,-51.874099999990,0.91,3.14,2.31,0.96,1.01,0.71,1.76,1.44,2.09,1.55,1.75,0.45,2.69,2.80,4.76,-
Colorado,4305603,-28.525800000000,-52.992800000000,0.53,0.71,0.97,1.88,1.41,-,-,-,-,-,-,-,-,-,-,-
Condor,4305702,-28.207500000000,-53.490499999990,1.80,1.63,2.65,1.96,1.19,2.63,2.23,1.01,2.22,0.90,1.23,3.23,3.65,2.79,1.40,2.01
Constantina,4305801,-27.731999999990,-52.993800000000,0.49,1.23,0.61,1.53,0.85,1.25,0.85,0.69,1.26,1.49,1.39,1.42,2.75,1.87,2.01,3.08
"Coronel Bicaco",4305900,-27.719700000000,-53.702199999990,1.32,1.44,1.77,1.23,1.44,0.17,1.06,0.72,0.57,0.47,0.58,1.52,0.43,0.74,1.46,-
Cotiporã,4305959,-28.989100000000,-51.697099999990,0.24,0.54,0.95,1.20,0.72,2.09,-,-,-,-,-,-,-,-,-,-
Crissiumal,4306007,-27.499900000000,-54.099400000000,2.65,2.54,3.81,3.96,2.85,2.45,2.27,2.63,1.85,3.01,2.00,2.48,1.66,1.55,2.02,0.90
"Cruz Alta",4306106,-28.645000000000,-53.604799999990,3.41,2.76,3.14,3.14,3.50,3.76,4.23,4.58,4.44,4.23,4.56,4.32,5.09,5.10,5.36,4.89
"Cruzeiro do Sul",4306205,-29.514800000000,-51.992800000000,1.26,0.11,1.24,1.29,2.55,3.36,2.28,1.95,2.72,3.00,2.82,3.23,5.99,2.86,5.68,6.27
"David Canabarro",4306304,-28.384899999990,-51.848199999990,-,0.19,-,0.93,1.68,0.74,0.88,0.64,-,1.46,1.11,1.66,1.16,1.23,2.00,1.06
"Dezesseis de Novembro",4306353,-28.219000000000,-55.061700000000,0.93,0.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Dois Irmãos",4306403,-29.583600000000,-51.089799999990,1.33,0.94,0.95,0.75,1.56,2.19,2.90,3.31,3.20,2.20,2.52,3.02,3.34,3.09,2.37,2.01
"Dois Lajeados",4306452,-28.983000000000,-51.839599999990,0.24,0.19,3.04,3.13,3.13,2.49,1.35,3.88,5.23,3.21,0.60,3.77,4.13,3.05,2.73,4.25
"Dom Feliciano",4306502,-30.700399999990,-52.102600000000,1.07,1.75,1.09,1.57,1.78,1.82,1.76,2.62,2.67,2.76,3.25,3.82,2.44,2.22,2.01,-
"Dom Pedrito",4306601,-30.975600000000,-54.669400000000,4.01,4.22,3.77,3.72,4.03,3.70,5.13,5.62,5.61,6.28,3.95,5.12,4.23,5.36,6.10,6.41
"Dona Francisca",4306700,-29.619499999990,-53.361699999990,1.30,1.42,0.52,1.10,0.96,-,2.15,3.97,2.42,4.12,3.64,-,-,-,-,-
"Doutor Maurício Cardoso",4306734,-27.510300000000,-54.357799999990,0.94,0.38,1.73,0.60,1.33,1.42,4.02,4.98,1.57,4.10,3.51,3.25,0.54,-,1.90,2.52
Encantado,4306809,-29.235099999990,-51.870300000000,0.57,0.38,0.13,0.89,0.68,0.34,0.34,0.29,0.15,0.15,1.02,2.18,1.51,1.75,2.98,2.77
"Encruzilhada do Sul",4306908,-30.542999999990,-52.520400000000,1.55,0.90,0.71,0.90,1.19,3.55,2.75,3.15,3.25,3.27,3.16,4.43,3.12,4.52,4.71,4.35
"Engenho Velho",4306924,-27.706000000000,-52.914499999990,1.02,0.47,1.15,-,0.44,-,0.96,0.83,-,1.27,-,0.96,-,-,-,-
Erechim,4307005,-27.636399999990,-52.269700000000,3.24,3.21,3.30,3.31,3.40,4.14,4.32,4.12,4.36,4.08,3.76,4.27,3.18,3.54,3.76,3.51
Ernestina,4307054,-28.497699999990,-52.583599999990,0.38,0.77,1.27,0.82,1.70,1.79,-,-,-,-,-,-,-,-,-,-
"Erval Grande",4307203,-27.392600000000,-52.573999999990,0.87,0.89,0.60,1.40,0.63,0.75,0.46,0.98,0.63,1.55,0.72,1.82,-,2.00,-,1.03
"Erval Seco",4307302,-27.544300000000,-53.500500000000,0.29,0.28,0.22,0.45,0.14,0.53,0.61,1.14,0.15,0.82,0.50,0.72,0.67,2.08,0.80,1.83
Esmeralda,4307401,-28.051800000000,-51.193300000000,0.72,1.65,2.03,1.72,1.82,-,-,-,-,-,-,-,-,-,-,-
Espumoso,4307500,-28.728600000000,-52.846100000000,0.91,0.84,1.43,0.72,1.57,2.11,1.75,2.73,1.56,1.71,1.60,2.00,1.75,-,0.24,0.37
Estação,4307559,-27.913499999990,-52.263500000000,1.61,0.74,2.11,2.11,1.50,1.79,0.51,3.37,1.25,3.03,5.36,1.13,1.15,2.55,3.85,3.03
"Estância Velha",4307609,-29.653500000000,-51.184300000000,2.08,1.63,2.04,0.80,2.38,2.01,2.85,3.40,2.68,3.08,2.85,2.48,2.17,2.25,2.79,3.65
Esteio,4307708,-29.852000000000,-51.184100000000,4.82,5.68,5.25,4.90,4.46,4.47,5.95,6.11,6.31,4.78,4.81,5.01,4.62,5.22,6.51,5.47
Estrela,4307807,-29.501600000000,-51.960500000000,3.76,1.81,3.30,3.98,3.91,4.12,5.37,5.05,4.88,5.69,5.79,6.29,5.05,5.98,5.39,5.49
Farroupilha,4307906,-29.222700000000,-51.341900000000,1.14,1.12,1.90,1.34,1.36,2.32,2.26,2.96,2.76,2.82,3.79,2.63,2.30,4.26,3.91,3.32
"Faxinal do Soturno",4308003,-29.578800000000,-53.448399999990,0.94,1.47,0.63,1.58,1.40,0.83,0.39,1.29,2.45,4.19,4.72,2.57,1.23,2.10,1.74,2.39
Feliz,4308102,-29.452700000000,-51.303199999990,1.26,0.68,1.45,1.58,-,-,-,-,1.80,3.46,3.32,4.82,3.94,3.00,2.90,4.76
"Flores da Cunha",4308201,-29.026199999990,-51.187500000000,2.17,0.76,1.11,2.47,1.12,1.32,2.51,1.58,1.64,0.70,1.60,2.60,1.20,1.89,0.81,0.20
"Fontoura Xavier",4308300,-28.981600000000,-52.344499999990,0.94,2.16,1.75,1.89,1.90,0.41,1.48,1.09,1.31,1.67,1.65,1.05,1.14,1.26,1.63,1.53
Formigueiro,4308409,-30.003499999990,-53.495899999990,0.59,0.26,1.13,1.49,1.42,1.78,1.80,4.18,2.65,2.21,5.96,8.04,2.78,10.45,4.82,1.80
"Fortaleza dos Valos",4308458,-28.798600000000,-53.224899999990,1.16,0.41,0.68,1.03,1.74,1.52,2.33,0.49,1.45,1.58,3.63,2.94,1.17,1.72,-,4.76
"Frederico Westphalen",4308508,-27.358599999990,-53.395800000000,1.37,1.11,1.96,2.06,1.48,1.27,2.17,1.95,2.71,2.77,2.79,3.26,3.09,4.05,3.31,3.09
Garibaldi,4308607,-29.259000000000,-51.535200000000,1.72,1.31,1.29,1.26,1.93,1.49,2.18,2.02,2.00,1.96,2.62,2.72,2.17,2.21,2.07,1.55
Gaurama,4308706,-27.585599999990,-52.091500000000,1.66,0.91,1.15,0.98,0.87,1.58,1.78,2.50,1.74,1.27,1.09,2.53,1.33,1.97,1.38,2.40
"General Câmara",4308805,-29.903199999990,-51.761200000000,2.68,1.59,1.75,1.55,3.61,2.70,3.70,9.62,-,-,-,-,-,-,-,-
"Getúlio Vargas",4308904,-27.891100000000,-52.229399999990,1.91,1.22,2.39,2.09,2.07,1.84,1.71,2.00,1.62,2.37,2.03,1.58,1.77,2.53,1.69,3.38
Giruá,4309001,-28.029699999990,-54.351700000000,0.75,1.02,0.53,2.03,4.13,3.18,3.55,2.81,3.60,3.08,2.49,3.62,1.85,3.35,3.04,3.69
Gramado,4309100,-29.373300000000,-50.876199999990,2.00,1.01,0.22,0.20,0.28,1.00,2.74,2.81,2.93,3.54,3.65,3.25,4.23,6.81,5.99,5.54
Gravataí,4309209,-29.941299999990,-50.986899999990,3.84,3.91,4.47,4.97,4.40,5.54,4.99,4.91,5.51,4.81,6.03,6.21,5.53,6.05,6.79,7.52
Guabiju,4309258,-28.542100000000,-51.694800000000,0.98,3.64,1.56,1.04,1.12,0.44,3.13,0.87,1.85,-,3.45,4.65,4.46,-,4.72,3.64
Guaíba,4309308,-30.108599999990,-51.323300000000,2.45,2.75,3.19,3.59,2.75,3.83,3.87,4.27,3.55,3.54,4.03,5.31,5.80,7.05,9.28,9.88
Guaporé,4309407,-28.839900000000,-51.889499999990,2.00,1.73,2.96,2.74,1.84,2.00,2.06,2.08,2.75,1.91,2.94,2.62,2.51,3.71,4.98,2.87
"Guarani das Missões",4309506,-28.149100000000,-54.562899999990,2.10,1.94,3.40,2.70,2.04,2.48,2.33,3.87,2.84,3.25,2.59,4.30,5.09,4.28,3.70,3.15
Herval,4307104,-32.024000000000,-53.394399999990,2.61,1.51,2.00,2.93,0.15,0.33,2.24,2.43,2.63,2.72,2.95,5.45,3.65,6.52,6.16,0.64
Horizontina,4309605,-27.628200000000,-54.305300000000,1.49,0.86,2.18,2.57,1.60,2.36,1.29,2.06,2.14,3.01,1.65,1.66,2.81,3.17,3.05,2.78
Humaitá,4309704,-27.569099999990,-53.969499999990,1.55,1.01,1.45,1.09,1.35,0.57,2.20,3.43,0.47,1.06,2.33,2.67,0.79,0.50,1.80,2.91
Ibiaçá,4309803,-28.056600000000,-51.859900000000,1.55,1.13,1.68,1.77,0.56,0.63,0.62,0.93,0.98,1.02,0.33,0.33,0.88,1.20,2.11,-
Ibiraiaras,4309902,-28.374099999990,-51.637700000000,0.32,-,-,-,-,-,-,0.40,1.68,0.85,3.32,4.62,5.61,13.98,-,-
Ibirubá,4310009,-28.630199999990,-53.096100000000,1.03,0.95,0.94,0.48,0.74,2.04,1.55,1.71,1.55,1.64,1.79,1.23,1.60,1.68,2.75,2.49
Igrejinha,4310108,-29.569299999990,-50.791899999990,1.57,2.51,2.18,3.42,2.76,3.03,3.30,3.48,3.27,2.63,2.30,3.45,3.64,4.21,5.87,5.85
Ijuí,4310207,-28.388100000000,-53.920000000000,4.07,3.88,4.06,3.83,4.27,5.35,5.84,5.52,5.30,5.45,5.84,6.57,5.59,5.83,5.97,5.74
Ilópolis,4310306,-28.928200000000,-52.125799999990,-,-,-,1.28,1.30,0.73,0.52,1.12,0.28,0.65,0.85,0.30,0.82,1.96,1.29,0.32
Imigrante,4310363,-29.350800000000,-51.774700000000,1.41,0.26,2.39,1.75,0.41,1.39,2.67,-,-,-,-,-,-,-,-,-
Independência,4310405,-27.835400000000,-54.188600000000,1.44,0.71,0.90,0.69,2.74,2.56,1.20,4.55,1.69,1.82,7.47,7.93,6.92,11.63,-,-
Ipê,4310439,-28.817100000000,-51.285899999990,0.94,1.56,1.25,0.78,-,-,-,-,-,-,-,-,-,-,-,-
Iraí,4310504,-27.195100000000,-53.254300000000,1.55,0.37,1.64,1.13,1.65,1.48,2.46,2.82,3.43,2.61,2.69,2.52,3.40,1.86,2.55,2.04
Itaqui,4310603,-29.131000000000,-56.551499999990,1.44,2.25,1.74,2.32,1.64,1.63,1.88,2.23,2.79,3.62,3.58,3.88,2.69,2.89,3.22,4.50
"Itatiba do Sul",4310702,-27.384599999990,-52.453800000000,0.44,0.74,1.26,0.96,1.44,1.66,3.15,5.48,4.55,4.76,7.55,11.11,6.58,17.65,27.27,9.68
Ivorá,4310751,-29.523199999990,-53.584200000000,1.44,1.74,2.83,3.79,2.93,2.49,0.56,1.89,4.24,3.97,2.42,3.08,1.32,1.82,4.08,-
Ivoti,4310801,-29.599499999990,-51.153300000000,2.25,1.57,1.81,2.13,2.28,1.98,2.41,2.90,2.08,3.13,3.04,3.87,3.49,3.68,3.74,4.37
Jaboticaba,4310850,-27.634699999990,-53.276200000000,1.08,0.67,1.53,1.59,2.90,2.52,1.98,2.62,2.20,1.95,2.47,2.17,2.58,3.18,2.17,1.81
Jacutinga,4310900,-27.729099999990,-52.537199999990,0.81,2.30,2.33,6.21,3.06,3.29,1.20,3.24,4.42,3.03,1.56,2.78,5.62,7.57,8.66,9.09
Jaguarão,4311007,-32.560400000000,-53.377000000000,2.42,3.35,2.10,3.51,2.63,3.01,3.06,2.83,4.20,2.61,3.90,3.06,3.36,4.81,4.14,4.82
Jaguari,4311106,-29.493600000000,-54.703000000000,1.59,1.11,2.06,1.30,2.14,2.04,1.95,2.18,2.25,3.45,3.90,2.88,3.32,2.89,4.69,3.06
Jaquirana,4311122,-28.881100000000,-50.363700000000,1.47,1.72,1.92,0.92,0.97,0.30,1.99,2.15,1.90,0.61,0.96,-,4.24,1.43,1.65,0.77
Jóia,4311155,-28.643500000000,-54.114100000000,0.12,0.14,0.30,0.11,0.55,-,0.55,1.29,1.91,-,-,-,-,-,-,-
"Júlio de Castilhos",4311205,-29.229800000000,-53.677199999990,1.76,1.61,2.16,1.67,1.11,2.01,2.14,2.33,2.80,2.00,2.20,3.42,2.91,2.60,2.34,2.88
"Lagoa Vermelha",4311304,-28.209299999990,-51.524799999990,2.01,2.02,1.87,2.56,2.08,1.85,2.24,2.67,4.21,3.22,3.25,3.68,4.62,4.35,5.04,4.48
Lagoão,4311254,-29.234800000000,-52.799700000000,2.16,0.29,1.43,2.70,-,-,2.80,1.76,2.06,0.72,-,1.45,1.18,-,-,-
Lajeado,4311403,-29.459099999990,-51.964399999990,3.87,3.27,3.51,3.95,4.50,4.52,4.00,4.68,5.31,4.75,3.98,4.01,4.06,4.74,4.23,4.32
"Lavras do Sul",4311502,-30.807099999990,-53.893099999990,2.05,1.17,2.41,1.59,1.75,1.76,1.49,2.60,1.45,0.69,1.13,0.76,0.48,1.65,-,-
"Liberato Salzano",4311601,-27.600999999990,-53.075299999990,-,0.23,0.32,0.74,-,-,-,-,-,-,-,-,-,-,-,-
Machadinho,4311700,-27.566700000000,-51.666800000000,0.97,1.30,1.64,2.21,3.57,1.42,2.30,2.32,1.32,0.84,0.77,0.47,-,-,-,1.83
Marau,4311809,-28.449800000000,-52.198599999990,1.05,0.39,0.88,0.92,1.25,1.18,0.93,1.16,0.90,0.94,1.86,1.95,2.24,2.52,2.48,2.45
"Marcelino Ramos",4311908,-27.467600000000,-51.909500000000,-,0.36,1.26,1.60,1.51,2.49,1.57,1.00,0.78,1.78,0.73,0.47,0.37,0.68,0.78,0.22
"Mariano Moro",4312005,-27.356800000000,-52.146700000000,0.42,0.44,0.95,1.01,3.01,3.21,3.39,2.03,0.93,3.33,2.20,2.06,2.82,3.90,5.41,3.85
"Marques de Souza",4312054,-29.331099999990,-52.097299999990,-,-,-,-,-,-,-,2.82,2.30,2.76,3.05,2.78,2.96,2.38,3.02,1.57
